81|MALUKU
81.02.13.2023|Tenbuk
81.02.13.2024|Denwet
81.02.14|Kei Kecil Barat
81.02.14.2001|Ohoidertutu
81.02.14.2002|Matwair
81.02.14.2003|Somlain
81.02.14.2004|Ohoiren
81.02.14.2005|Ohoira
81.02.14.2006|Warbal
81.02.14.2007|Ur Pulau
81.02.14.2008|Tanimbar Kei
81.02.14.2009|Ohoidertom
81.02.14.2010|Yatwav
81.02.15|Manyeuw
81.02.15.2001|Rumadian
81.02.15.2002|Debut
81.02.15.2003|Namar
81.02.15.2004|Ngilngof
81.02.15.2005|Selayar
81.02.15.2006|Lairngangas
81.02.15.2007|Ohoiluk
81.02.15.2008|Ohoililir
81.02.15.2009|Ngayub
81.02.16|Hoat Sorbay
81.02.16.2001|Tetoat
81.02.16.2002|Dian Pulau
81.02.16.2003|Letwuan
81.02.16.2004|Evu
81.02.16.2005|Warwut
81.02.16.2006|Wab
81.02.16.2007|Dian Darat
81.02.16.2008|Wirin
81.02.16.2009|Ngursit
81.02.16.2010|Madwat
81.02.16.2011|Ohoibadar
81.02.16.2012|Watngil
81.02.16.2013|Arso
81.02.17|Kei Besar Utara Barat
81.02.17.2001|Weer Ohoinam
81.02.17.2002|Weer Ohoiker
81.02.17.2003|Weer Frawaf
81.02.17.2004|Faa
81.02.17.2005|Dangarat
81.02.17.2006|Ohoituf
81.02.17.2007|Hangur
81.02.17.2008|Ngurwalek
81.02.17.2009|Uwat
81.02.17.2010|Uwat Wear
81.02.17.2011|Uwat Reyaan
81.02.17.2012|Mun Ohoiir
81.02.17.2013|Mun Essoy
81.02.17.2014|Mun Kahar
81.02.17.2015|Mun Ngurditwain
81.02.17.2016|Mun Werfan
81.02.17.2017|Ad Ngurwul
81.02.17.2018|Ad Ohoiwaf
81.02.17.2019|Laar
81.02.17.2020|Hoor Islam
81.02.17.2021|Hoor Kristen
81.02.17.2022|Waer
81.02.17.2023|Waerat
81.02.17.2024|Mun Ohoitadiun
81.02.17.2025|Ad Wear Aur
81.02.18|Kei Besar Selatan Barat
81.02.18.2001|Hoat
81.02.18.2002|Ngafan
81.02.18.2003|Feer
81.02.18.2004|Rerean
81.02.18.2005|Ngurko
81.02.18.2006|Hoko
81.02.18.2007|Weduar Fer
81.02.18.2008|Uat
81.02.18.2009|Ngan
81.02.18.2010|Watkidat
81.02.18.2011|Ohoilean
81.02.18.2012|Wafol
81.02.18.2013|Rahangiar
81.02.19|Kei Kecil Timur Selatan
81.02.19.2001|Danar Ohoiseb
81.02.19.2002|Danar Ternate
81.02.19.2003|Danar Lumefar
81.02.19.2004|Elaar Ngursoin
81.02.19.2005|Elaar Lamagorang
81.02.19.2006|Elaar Let
81.02.19.2007|Sare
81.02.19.2008|Maar
81.02.19.2009|Uf
81.02.19.2010|Ngurwul
81.02.19.2011|Garara
81.03|KAB. MALUKU TENGGARA BARAT
81.03.01|Tanimbar Selatan
81.03.01.1001|Saumlaki
81.03.01.1002|Saumlaki Utara
