62|KALIMANTAN TENGAH
62.02.17.2017|Tri Buana
62.02.17.2018|Tumbang Bajanei
62.03|KAB. KAPUAS
62.03.01|Selat
62.03.01.1006|Murung Keramat
62.03.01.1007|Selat Hilir
62.03.01.1008|Selat Tengah
62.03.01.1009|Selat Hulu
62.03.01.1010|Selat Dalam
62.03.01.1021|Selat Utara
62.03.01.1022|Selat Barat
62.03.01.1023|Panamas
62.03.01.2011|Pulau Telo
62.03.01.2020|Pulau Telo Baru
62.03.02|Kapuas Hilir
62.03.02.1001|Mambulau
62.03.02.1002|Hampatung
62.03.02.1003|Dahirang
62.03.02.1004|Barimba
62.03.02.1005|Sei Pasah
62.03.02.2006|Bakungin
62.03.02.2007|Sei Asam
62.03.02.2008|Saka Batur
62.03.03|Kapuas Timur
62.03.03.2001|Anjir Serapat Timur
62.03.03.2002|Anjir Serapat Tengah
62.03.03.2003|Anjir Serapat Barat
62.03.03.2004|Anjir Mambulau Timur
62.03.03.2005|Anjir Mambulau Tengah
62.03.03.2006|Anjir Mambulau Barat
62.03.03.2007|Anjir Serapat Baru
62.03.04|Kapuas Kuala
62.03.04.2001|Batanjung
62.03.04.2002|Cemara Labat
62.03.04.2003|Palampai
62.03.04.2004|Sei Teras
62.03.04.2005|Lupak Dalam
62.03.04.2008|Tamban Baru Selatan
62.03.04.2011|Tamban Lupak
62.03.04.2014|Lupak Timur
62.03.04.2015|Wargo Mulyo
62.03.04.2016|Sei Bakut
62.03.04.2018|Pematang
62.03.04.2019|Simpang Bunga Tanjung
62.03.04.2020|Baranggau
62.03.05|Kapuas Barat
62.03.05.1004|Mandomai
62.03.05.2001|Sei Kayu
62.03.05.2002|Saka Mangkahai
62.03.05.2003|Anjir Kalampan
62.03.05.2005|Pantai
62.03.05.2006|Saka Tamiang
62.03.05.2007|Penda Katapi
62.03.05.2008|Teluk Hiri
62.03.05.2009|Sei Dusun
62.03.05.2010|Sei Pitung
62.03.05.2011|Maju Bersama
62.03.05.2012|Basuta Raya
62.03.06|Pulau Petak
62.03.06.2001|Saka Lagon
62.03.06.2002|Bunga Mawar
62.03.06.2003|Sei Tatas
62.03.06.2004|Narahan
62.03.06.2005|Handiwung
62.03.06.2006|Anjir Palambang
62.03.06.2007|Palangkai
62.03.06.2008|Teluk Palinget
62.03.06.2009|Sei Tatas Hilir
62.03.06.2010|Mawar Mekar
62.03.06.2011|Banama
62.03.06.2012|Narahan Baru
62.03.07|Kapuas Murung
62.03.07.1001|Palingkau Baru
62.03.07.1002|Palingkau Lama
62.03.07.2003|Tajepan
62.03.07.2004|Mampai
62.03.07.2005|Muara Dadahup
62.03.07.2006|Belawang
62.03.07.2008|Palangkau Lama
62.03.07.2010|Palangkau Baru
62.03.07.2014|Talekung Punei
62.03.07.2015|Karya Bersama
62.03.07.2016|Palingkau Jaya
62.03.07.2017|Palingkau Asri
62.03.07.2018|Palingkau Sejahtera
62.03.07.2019|Saka Binjai
62.03.07.2020|Bina Sejahtera
62.03.07.2021|Suka Reja
62.03.07.2022|Suka Mukti
62.03.07.2023|Bina Karya
62.03.07.2024|Bina Mekar
62.03.07.2025|Rawa Subur
62.03.07.2026|Sumber Mulya
62.03.07.2027|Bumi Rahayu
62.03.07.2028|Manggala Permai
62.03.08|Basarang
62.03.08.2001|Pangkalan Rekan
62.03.08.2002|Batuah
62.03.08.2003|Basarang
62.03.08.2004|Basungkai
62.03.08.2005|Maluen
62.03.08.2006|Pangkalan Sari
62.03.08.2007|Lunuk Ramba
62.03.08.2008|Batu Nindan
62.03.08.2009|Basarang Jaya
62.03.08.2010|Bungai Jaya
62.03.08.2011|Panarung
62.03.08.2012|Tarung Manuah
62.03.08.2013|Tambun Raya
62.03.08.2014|Naning
62.03.09|Mantangai
62.03.09.2001|Manusup
62.03.09.2002|Sei Kapar
62.03.09.2003|Tarantang
62.03.09.2004|Lamunti
62.03.09.2005|Pulau Kaladan
62.03.09.2006|Mantangai Hilir
62.03.09.2007|Mantangai Tengah
62.03.09.2008|Mantangai Hulu
62.03.09.2009|Kalumpang
62.03.09.2010|Sei Ahas
62.03.09.2011|Katunjung
62.03.09.2012|Lahei Mangkutup
62.03.09.2013|Tumbang Muroi
