76|SULAWESI BARAT
76.04.01.2005|Galung Lombok
76.04.01.2006|Tandung
76.04.01.2007|Batulaya
76.04.01.2008|Sepabatu
76.04.02|Campalagian
76.04.02.1001|Pappang
76.04.02.2002|Laliko
76.04.02.2003|Bonde
76.04.02.2004|Katumbangan Lemo
76.04.02.2005|Panyampa
76.04.02.2006|Suruang
76.04.02.2007|Lampoko
76.04.02.2008|Katumbangan
76.04.02.2009|Lapeo
76.04.02.2010|Parappe
76.04.02.2011|Ongko
76.04.02.2012|Kenje
76.04.02.2013|Sumarrang
76.04.02.2014|Botto
76.04.02.2015|Gattungan
76.04.02.2016|Padang Timur
76.04.02.2017|Padang
76.04.02.2018|Lagi-Agi
76.04.03|Wonomulyo
76.04.03.1001|Sidodadi
76.04.03.2002|Sidorejo
76.04.03.2003|Sumberejo
76.04.03.2004|Bumiayu
76.04.03.2005|Kebunsari
76.04.03.2006|Banua Baru
76.04.03.2007|Nepo
76.04.03.2008|Sugihwaras
76.04.03.2009|Campurjo
76.04.03.2010|Bumimulyo
76.04.03.2011|Tumpiling
76.04.03.2012|Bakka-Bakka
76.04.03.2013|Arjo Sari
76.04.03.2014|Galeson
76.04.04|Polewali
76.04.04.1001|Polewali
76.04.04.1002|Wattang
76.04.04.1003|Sulewatang
76.04.04.1004|Lantora
76.04.04.1005|Takatidung
76.04.04.1006|Pekkabata
76.04.04.1007|Madate
76.04.04.1008|Manding
76.04.04.1009|Darma
76.04.05|Tutar
76.04.05.1001|Taramanu
76.04.05.2002|Ambopadang
76.04.05.2003|Tubbi
76.04.05.2004|Ratte
76.04.05.2005|Besoangin
76.04.05.2006|Piriang Tapiko
76.04.05.2007|Peburru
76.04.05.2008|Taloba
76.04.05.2009|Pollewani
76.04.05.2010|Arabua
76.04.05.2011|Besoangin Utara
76.04.05.2012|Poda
76.04.05.2013|Taramanu Tua
76.04.06|Binuang
76.04.06.1005|Amassangan
76.04.06.2001|Tonyaman
76.04.06.2002|Kuajang
76.04.06.2003|Paku
76.04.06.2004|Mirring
76.04.06.2006|Batetangnga
76.04.06.2007|Mammi
76.04.06.2008|Kaleok
76.04.06.2009|Amola
76.04.06.2010|Rea
76.04.07|Tapango
76.04.07.1001|Pelitakan
76.04.07.2002|Tapango
76.04.07.2003|Rappang
76.04.07.2004|Dakka
76.04.07.2005|Batu
76.04.07.2006|Riso
76.04.07.2007|Palatta
76.04.07.2008|Tapango Barat
76.04.07.2009|Kurrak
76.04.07.2010|Bussu
76.04.07.2011|Tuttula
76.04.07.2012|Jambu Malea
76.04.07.2013|Kalimbua
76.04.07.2014|Banato Rejo
76.04.08|Mapilli
76.04.08.1001|Mapili
76.04.08.2002|Ugibaru
76.04.08.2003|Rumpa
76.04.08.2005|Kurma
76.04.08.2007|Buku
76.04.08.2009|Bonne Bonne
76.04.08.2011|Beroangin
76.04.08.2015|Segerang
76.04.08.2016|Bonra
76.04.08.2017|Sattoko
76.04.08.2018|Rappang Barat
76.04.08.2019|Landi Kanusuang
76.04.09|Matangnga
76.04.09.1001|Matangnga
76.04.09.2002|Lilli
76.04.09.2003|Rangoan
76.04.09.2004|Tapua
76.04.09.2005|Mambu Tapua
76.04.09.2006|Ba'ba Tapua
76.04.09.2007|Katimbang
76.04.10|Luyo
76.04.10.1004|Batupanga
76.04.10.2001|Mambu
76.04.10.2002|Tenggelang
76.04.10.2003|Baru
76.04.10.2005|Pussui
76.04.10.2006|Mapili Barat
76.04.10.2007|Sambali Wali
76.04.10.2008|Batupanga Daala
76.04.10.2009|Luyo
76.04.10.2010|Pussui Barat
76.04.10.2011|Puccadi
76.04.11|Limboro
76.04.11.1001|Limboro
76.04.11.2002|Lembang Lembang
76.04.11.2003|Tandasura
76.04.11.2004|Samasundu
76.04.11.2005|Napo
76.04.11.2006|Todang Todang
76.04.11.2007|Pendulangan
76.04.11.2008|Renggeang
76.04.11.2009|Salarri
76.04.11.2010|Tangan Baru
76.04.11.2011|Palece
76.04.12|Balanipa
76.04.12.1002|Balanipa
76.04.12.2001|Tammajarra
76.04.12.2003|Tamanggalle
76.04.12.2004|Mosso
76.04.12.2005|Galung Tuluk
76.04.12.2006|Sabang Subik
76.04.12.2007|Pambusuang
76.04.12.2008|Bala
76.04.12.2009|Lambanan
76.04.12.2010|Lego
76.04.12.2011|Pallis
76.04.13|Anreapi
76.04.13.1001|Anreapi
76.04.13.2002|Duampanua
76.04.13.2003|Kelapa Dua
76.04.13.2004|Papandangan
76.04.13.2005|Kunyi
76.04.14|Matakali
76.04.14.1001|Matakali
76.04.14.2002|Petampanua
76.04.14.2003|Barumbung
76.04.14.2004|Pasiang
76.04.14.2005|Tonrolima
76.04.14.2006|Indomakkombong
76.04.14.2007|Bunga-Bunga
76.04.15|Allu
76.04.15.1009|Petoosang
76.04.15.2002|Mombi
76.04.15.2003|Kalumammang
76.04.15.2004|Pao-pao
76.04.15.2005|Puppu Uring
76.04.15.2006|Saragian
76.04.15.2007|Sayoang
76.04.15.2008|Alu
76.04.16|Bulo
76.04.16.2001|Bulo
76.04.16.2002|Pulliwa
76.04.16.2003|Patambanua
76.04.16.2004|Karombang
76.04.16.2005|Daala Timur
76.04.16.2006|Lenggo
76.04.16.2007|Sabura
76.04.16.2008|Sepporraki
76.04.16.2009|Ihing
76.05|KAB. MAJENE
76.05.01|Banggae
76.05.01.1001|Banggae
76.05.01.1003|Baru
76.05.01.1007|Pangali Ali
76.05.01.1009|Totoli
76.05.01.1010|Rangas
76.05.01.1013|Galung
76.05.01.2011|Palipi Soreang
76.05.01.2012|Pamboborang
76.05.02|Pamboang
76.05.02.1001|Lalampanua
76.05.02.1002|Sirindu
76.05.02.2003|Adolang
76.05.02.2004|Bababulo
76.05.02.2005|Bonde
76.05.02.2006|Betteng
76.05.02.2007|Simbang
76.05.02.2008|Bonde Utara
76.05.02.2009|Bababulo Utara
76.05.02.2010|Buttu Pamboang
76.05.02.2011|Banua Adolang
76.05.02.2012|Adolang Dhua
76.05.02.2013|Tinambung
76.05.02.2014|Pesuloang
76.05.02.2015|Balombong
76.05.03|Sendana
76.05.03.1001|Mosso
76.05.03.1002|Mosso Dhua
76.05.03.2004|Totolisi Sendana
76.05.03.2007|Tallubanua
76.05.03.2015|Lalatedzong
76.05.03.2016|Binanga
76.05.03.2017|Puttada
76.05.03.2018|Paminggalan
76.05.03.2019|Leppangang
76.05.03.2020|Pundau
76.05.03.2021|Sendana
76.05.03.2022|Banua Sendana
76.05.03.2023|Tallubanua Utara
76.05.03.2024|Limboro Rambu-Rambu
76.05.03.2025|Limbua
76.05.03.2026|Bukit Samang
76.05.04|Malunda
76.05.04.1001|Malunda
76.05.04.1015|Lamungang Batu
76.05.04.2002|Bambangan
76.05.04.2004|Lombang
76.05.04.2005|Lombong
76.05.04.2006|Mekkatta
76.05.04.2010|Maliaya
76.05.04.2011|Lombang Timur
76.05.04.2012|Salutahongan
76.05.04.2013|Lombong Timur
76.05.04.2014|Mekkatta Selatan
76.05.04.2016|Kayuangin
76.05.05|Ulumanda
76.05.05.2001|Kabiraan
76.05.05.2002|Sambabo
76.05.05.2003|Tandeallo
76.05.05.2004|Ulumanda
76.05.05.2005|Salutambung
76.05.05.2006|Popenga
76.05.05.2007|Sulai
76.05.05.2008|Panggalo
76.05.06|Tammerodo Sendana
76.05.06.2001|Seppong
76.05.06.2002|Tammerodo
76.05.06.2003|Ulidang
76.05.06.2004|Tallambalao
76.05.06.2005|Tammerodo Utara
76.05.06.2006|Manyamba
76.05.06.2007|Awo
76.05.07|Tubo Sendana
76.05.07.2001|Onang
76.05.07.2002|Tubo
76.05.07.2003|Onang Utara
76.05.07.2004|Tubo Selatan
76.05.07.2005|Bonde bonde
76.05.07.2006|Tubo Tengah
76.05.07.2007|Tubo Poang
76.05.08|Banggae Timur
76.05.08.1001|Baurung
76.05.08.1002|Baruga
76.05.08.1003|Baruga Dhua
76.05.08.1004|Labuang
76.05.08.1005|Tande
76.05.08.1006|Lembang
76.05.08.1007|Labuang Utara
76.05.08.1008|Tande Timur
76.05.08.2009|Buttu Baruga
76.06|KAB. MAMUJU TENGAH
76.06.01|Tobadak
76.06.01.2001|Mahahe
76.06.01.2002|Salobaja
76.06.01.2003|Tobadak
76.06.01.2004|Palongaan
76.06.01.2005|Batu Parigi
76.06.01.2006|Bambadaru
76.06.01.2007|Sejati
76.06.01.2008|Saloadak
76.06.02|Pangale
76.06.02.2001|Polo Pangale
76.06.02.2002|Pangale
76.06.02.2003|Sartanamaju
76.06.02.2004|Polo Lereng
76.06.02.2005|Kuo
76.06.02.2006|Polo Camba
76.06.02.2007|Lamba-lamba
76.06.02.2008|Kombiling
76.06.02.2009|Lemo-Lemo
76.06.03|Budong-Budong
76.06.03.2001|Babana
76.06.03.2002|Lumu
76.06.03.2003|Pontanakayang
76.06.03.2004|Salogatta
76.06.03.2005|Kire
76.06.03.2006|Tinali
76.06.03.2007|Salumanurung
76.06.03.2008|Pasapa
76.06.03.2009|Bojo
76.06.03.2010|Barakkang
76.06.03.2011|Lembah Hada
76.06.04|Topoyo
76.06.04.2001|Budong-Budong
76.06.04.2002|Topoyo
76.06.04.2003|Tumbu
76.06.04.2004|Kabubu
76.06.04.2005|Waeputeh
76.06.04.2006|Tangkou
76.06.04.2007|Tabolang
76.06.04.2008|Paraili
76.06.04.2009|Salupangkang
76.06.04.2010|Salupangkang IV
76.06.04.2011|Tappilina
76.06.04.2012|Bambamanurung
76.06.04.2013|Salulekbo
76.06.04.2014|Pangalloang
76.06.04.2015|Sinabatta
76.06.05|Karossa
76.06.05.2001|Karossa
76.06.05.2002|Tasokko
76.06.05.2003|Lara
76.06.05.2004|Kadaila
76.06.05.2005|Kayu Calla
76.06.05.2006|Lembah Hopo
76.06.05.2007|Benggaulu
76.06.05.2008|Suka Maju
76.06.05.2009|Kambunong
76.06.05.2010|Salubiro
76.06.05.2011|Sanjango
